"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"3718","Home","grinnell:25489","At the center of the block is a nineteenth century map of the Grinnell College campus, showing familiar locations such as Mac Field and the Forum. To the right of the campus, a compass made of dorm keys shows the cardinal directions, transforming the block itself into a map and therefore situating Grinnell both geographically in an the context of a constantly evolving world. Images of Herrick Chapel and Steiner Hall, as well as the famous Louis Sullivan Jewel box bank, are also included in this block to bring familiar scenes into the piece. Embellished with metallic sequins that drift across the block like leaves floating across campus, this block serves to bring the wider story of this installation closer to the Grinnellian’s reality.",NA,"Grinnell College",2017,"Digital Grinnell","Grinnell, Iowa, Abolition, Anti-Slavery, Caribbean, Herrick Chapel, Louis Sullivan, Jewelbox bank","Still Image",NA,"Grinnell, IA"
"3719","Home Economics Hall, Iowa State Agricultural College, Iowa State University, Ames, Iowa","grinnell:13340","Looking northwest at MacKay Hall. The original building was completed in 1911 and in 1926 a new addition including an east wing identical to the original building and a new central section, shown here, were opened. In 1957 the building was named MacKay Hall in honor of the long-time dean of Family and Consumer Sciences, Catherine J. MacKay. 1954 postmark. Number P2770. Located at 2302 Osborn Drive, Ames, Story County, Iowa.","MacKay Hall, Home Economics Building, Domestic Technology Building","Dexter Press, Inc (West Nyack, N.Y.)",1954,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Story County (Iowa), Ames (Iowa), Universities & colleges, Educational facilities, Lecture halls, Iowa State University (Iowa)",NA
"3720","Home Management Class","grinnell:5052","Photo of ms. Jenne Taylor, director of foods workshop in Euthemics, watching Sue Brenton, '57 stir during a Home Management class",NA,"Grinnell College",1956,"Poweshiek History Preservation Project, Digital Grinnell","home management, cooking, workshop","Photograph",NA,"Grinnell (Iowa)"
"3721","Home at Eighth and Broad","grinnell:6416","Home at Eighth Avenue and Broad Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-2.","Home at 8th and Broad","Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1900s, Grinnell, Family life","Image","Architecture, Domestic","Grinnell (Iowa)"
"3722","Home coming parade 1912, Bellevue, Iowa","grinnell:13785","Looking northwest on South Second Street at homecoming parade of horses and buggies filled with local familes in Bellevue, Iowa. 1912 postmark.","Homecoming parade, South Second Street, South 2nd Street","AZO",1912,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Jackson County (Iowa), Bellevue (Iowa), Events, Parades & processions, Commercial streets, Spectators, Carriages & coaches, Homecomings",NA
"3723","Home for the Aged, Des Moines, Iowa","grinnell:16853","Looking south from University Avenue at the Des Moines Home for the Aged founded in 1896 which housed aged men and women. The building was located on the corner of 28th Street and University Avenue. Number P-25509.",NA,"Hyman's News and Book Store (Des Moines, Iowa)",1925,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Rest homes, Health care facilities, Polk County (Iowa), Des Moines (Iowa)",NA
"3724","Home in Grinnell","grinnell:11366","Postcard view of a home in Grinnell, Iowa. Velox stamp box with diamonds in corners on verso. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,NA,NA,NA,NA,"still image",NA,NA
"3725","Home of ""Quaker Oats"", Cedar Rapids, Iowa","grinnell:13421","In 1873, the Stuart family from Canada and the Higley and especially the Douglas family from Cedar Rapids established an oatmeal mill (initially known as the North Star Mill). The company later adopted the name American Cereal Company and by the 1890s began to produce a product line known as ""Quaker Oats"". The Cedar Rapids Quaker Oats plant established its own skyline of manufacturing buildings and became one of the largest in the nation. 1908 postmark. Number 22222.","North Star Mill, American Cereal Company","Souvenir Post Card Co. (New York, [N.Y.])",1908,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Linn County (Iowa), Cedar Rapids (Iowa), Industrial facilities, Grain industry, Cereal products, Rivers, Quaker Oats, North Star Mill",NA
"3726","Home of Anson and Abi Palmer","grinnell:12021","Farm homestead of Anson Hayden and Abi Alden Palmer. The house is believed to have been built by Anson. Located approximately one mile south of Newburg, Iowa, at 15294 N. 87th Ave. East.",NA,"Poweshiek History Preservation Project",2008,"Digital Grinnell, Poweshiek History Preservation Project","2000s, Family Life, Agriculture","still image","Pamler, Anson Hayden, 1854-1926, Palmer family, Farmhouses","Newburg (Iowa)"
"3727","Home of Georgiana Holloway, Grinnell, Iowa","grinnell:13983","Home of Georgiana Holloway, Grinnell College graduate and ""prominent grade school teacher for many years.""--photo verso. Title supplied by cataloger.",NA,"AZO",1920,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Residential streets, Residential facilities, Houses, Halloway, Georgiana",NA
"3728","Home of Hon. J.B. Grinnell, Grinnell, Iowa","grinnell:14513","Looking east from Central Park. Home of J.B. Grinnell and his wife Julia. The cellar was a registered stop in the Underground Railroad. A portion of the house was moved to Broad Street south of Third Avenue until the late 1970's. 1908 postmark.",NA,NA,1908,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Residential streets, Residential facilities, Houses, Grinnell, Josiah Bushnell, 1821-1891",NA
"3729","Home of Mrs. Floyd Brown, Bloomfield, Iowa","grinnell:13526","Bedford Limestone Veneer Home made by Meredith Stone Company in Befored, Indiana. A Story in Stone. Let the exterior of your home tell a story of gracious living--friendliness and stability...Nothing can create this delightful atmosphere about your home better than Meredith Bedford Indiana Limestone... yet the cost of this time defying construction is surprisingly low maintenance cost almost nothing. And as the years roll by time and the elements only add to its richness. Number 0C-H940.","Brown, Floyd Mrs., Brown, Mrs. Frata M. Bond, 1892-1971, Meredith Stone Company","Curteich & Co. Inc. (Chicago, Ill.)",1950,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Davis County (Iowa), Bloomfield (Iowa), Advertising cards, Meredith Stone Company, Building materials industry, Brown, Floyd Mrs.",NA
"3730","Home of Norbert Dawson, General Merchandise, Soldier, Iowa","grinnell:15648","Home of Norbert Dawson, General Merchandise, Soldier, Iowa",NA,NA,NA,NA,NA,"still image","Streets, Commercial streets, Commercial facilities, Stores and shops, General stores",NA
"3731","Home of the Friendless, Dubuque, Iowa","grinnell:16036","Home of the Friendless, Dubuque, Iowa",NA,"Acme Art Store, Dubuque, Iowa",NA,NA,NA,"still image","Welfare facilities, Orphanages, Orphans, Children",NA
"3732","Home track meet, Grinnell College, Grinnell, Iowa","grinnell:13922","Several female athletes(?) placing their contestant numbers on each others' backs.","Athletics","AZO",1911,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Sports, Track athletics, Women, Grinnell College",NA
"3733","Home track meet, Grinnell College, Grinnell, Iowa","grinnell:13920","A possible children's event at a Grinnell College track meet showing a cloth dragon walking out onto the track..","Athletics","AZO",1911,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Sports, Track athletics, Children, Grinnell College",NA
"3734","Home track meet, Grinnell College, Grinnell, Iowa","grinnell:13923","Two male athletes running for the finish line and fans cheering them on.","Athletics","AZO",1911,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Sports, Track athletics, Grinnell College",NA
"3735","Home track meet, Grinnell College, Grinnell, Iowa","grinnell:13921","A possible children's event at a Grinnell College track meet showing a cloth dragon on the track and children entering at their own risk.","Athletics","AZO",1911,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, Sports, Track athletics, Children, Grinnell College",NA
"3736","Homecoming","grinnell:20070","Starting with girl at top in two tone dress: Joanne Bunge '56, Marilyn Postma,, Peggy Gray '56, unknown, Chris Cochran '57, unknown, unknown, and Nancy Norris pose in homecoming dresses during the Military Ball Court.",NA,"Grinnell College",1957,"Digital Grinnell","Students, Homecoming","still image",NA,"Grinnell (Iowa)"
"3737","Homecoming Decorations","grinnell:5646","""Cream Carleton Udderly"" homecoming decorations.",NA,"Grinnell College",1951,"Digital Grinnell, Life at Grinnell College","homecoming, decorations, Carleton","still image","Football, Grinnell College","Grinnell (Iowa)"
"3738","Homecoming Decorations on North Campus","grinnell:5653","""The Grinnell Story"" homecoming decorations on North Campus.",NA,"Grinnell College",1949,"Digital Grinnell, Life at Grinnell College","homecoming, decorations","still image","Football, Grinnell College","Grinnell (Iowa)"
"3739","Homecoming Decorations, Grinnell College","grinnell:5686","Homecoming decorations at Grinnell College ca. 1950-1952, for homecoming against Cornell College. 3 images outside of south Loggia.",NA,"Poweshiek History Preservation Project",1950,"Digital Grinnell, Poweshiek History Preservation Project, Campus Events","1950s, Grinnell, Education","still image","Cornell College (Mount Vernon, Iowa), Grinnell College, Homecoming","Grinnell (Iowa)"
"3740","Homecoming Pep Bonfire","grinnell:5662","Students watching and dancing around the Homecoming pep bonfire.",NA,"Grinnell College",1951,"Digital Grinnell, Life at Grinnell College","homecoming, pep bonfire","still image","Football, Bonfires, College students, Grinnell College","Grinnell (Iowa)"
"3741","Homecoming Quartet and Queen","grinnell:5654","Quartet left to right: Roger Hansen, Robert Wells, Roger Cameron, Robert Peterson. Seated Queen Janet Knierim and Paula Sanders.",NA,"Grinnell College",1949,"Digital Grinnell, Life at Grinnell College","homecoming, quartet, queen,","still image","Football, Vocal quartets, Unaccompanied, Women college students, Grinnell College","Grinnell (Iowa)"
"3742","Homecoming Queen Candidates","grinnell:20071","Homecoming Queen candidates.",NA,"Grinnell College",1952,"Digital Grinnell","Students, Homecoming","still image",NA,"Grinnell (Iowa)"
"3744","Homecoming Queen Chris Cochron","grinnell:5843","Homecoming Queen Chris Cochron, class of 1957, riding in a car with one of the McJimsey brothers.",NA,"Grinnell College",1956,"Digital Grinnell, Life at Grinnell College","homecoming queen, Chris Cochron, McJimsey","still image","Grinnell College, Cochron, Chris, Women college students","Grinnell (Iowa)"
"3745","Homecoming Queen and Other Women Sitting on a Pep Parade Float","grinnell:23439","The Homecoming Queen sitting on top of a pep parade float with several other women.",NA,"Grinnell College",1951,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Homecoming","still image",NA,"Grinnell (Iowa)"
